pr_auc,brier,threshold,precision,recall,f1,tp,fp,fn,tn,method,seed,route,r,train_n,train_n_fraud,train_n_normal
0.737713280551052,0.0007781101802555,0.043,0.6422764227642277,0.8061224489795918,0.7149321266968326,79,44,19,56820,M0,42,基准,,,,
0.7076268902998831,0.0007855180853158,0.094,0.7391304347826086,0.6938775510204082,0.7157894736842105,68,24,30,56840,M0,123,基准,,,,
0.7387493283417024,0.0007061309507752,0.082,0.7130434782608696,0.8367346938775511,0.7699530516431925,82,33,16,56831,M0,456,基准,,,,
0.5287025959473479,0.0272961375760205,0.5,0.0502257336343115,0.9081632653061223,0.095187165775401,89,1683,9,55181,M1,42,数据层,1.0,630.0,315.0,315.0
0.5491131532539074,0.0230687907533207,0.499,0.0545677498467198,0.9081632653061223,0.1029496818970503,89,1542,9,55322,M2,42,数据层,2.0,945.0,315.0,630.0
0.6627690529624228,0.0097608971595966,0.5,0.1193415637860082,0.8877551020408163,0.2103990326481257,87,642,11,56222,M3,42,数据层,5.0,1890.0,315.0,1575.0
0.6682833157215897,0.0046165592216943,0.498,0.2345013477088948,0.8877551020408163,0.371002132196162,87,284,11,56580,M4,42,数据层,10.0,3465.0,315.0,3150.0
0.631418366780453,0.0257110937880373,0.5,0.050179211469534,0.8571428571428571,0.0948081264108352,84,1590,14,55274,M1,123,数据层,1.0,630.0,315.0,315.0
0.5942184777015871,0.0156271285138944,0.5,0.0864583333333333,0.8469387755102041,0.1568998109640831,83,877,15,55987,M2,123,数据层,2.0,945.0,315.0,630.0
0.6548671208016953,0.0075743054722409,0.5,0.1571969696969697,0.8469387755102041,0.2651757188498402,83,445,15,56419,M3,123,数据层,5.0,1890.0,315.0,1575.0
0.685845463460437,0.0030544356679098,0.498,0.3458333333333333,0.8469387755102041,0.4911242603550296,83,157,15,56707,M4,123,数据层,10.0,3465.0,315.0,3150.0
0.6420264323772455,0.0324461891788215,0.5,0.0434572670207629,0.9183673469387756,0.0829875518672199,90,1981,8,54883,M1,456,数据层,1.0,630.0,315.0,315.0
0.5965836674265668,0.0163125061497996,0.5,0.0859073359073359,0.9081632653061223,0.1569664902998236,89,947,9,55917,M2,456,数据层,2.0,945.0,315.0,630.0
0.6007216441079535,0.0079262525554537,0.495,0.1487889273356401,0.8775510204081632,0.2544378698224852,86,492,12,56372,M3,456,数据层,5.0,1890.0,315.0,1575.0
0.6933018430667264,0.0039160615195007,0.5,0.2765273311897106,0.8775510204081632,0.4205378973105134,86,225,12,56639,M4,456,数据层,10.0,3465.0,315.0,3150.0
0.7392618375541612,0.0029838597931206,0.5,0.3210332103321033,0.8877551020408163,0.4715447154471545,87,184,11,56680,M5,42,数据层,,200157.0,18196.0,181961.0
0.72623391839537,0.0109290165088919,0.5,0.1185983827493261,0.8979591836734694,0.2095238095238095,88,654,10,56210,M6,42,数据层,,200141.0,18180.0,181961.0
0.7064482921966885,0.0025111170533033,0.5,0.3693693693693693,0.8367346938775511,0.5125,82,140,16,56724,M5,123,数据层,,200157.0,18196.0,181961.0
0.6740718046147072,0.0097960058928428,0.5,0.1353996737357259,0.8469387755102041,0.2334739803094233,83,530,15,56334,M6,123,数据层,,200170.0,18209.0,181961.0
0.731403464103788,0.0025476703237579,0.497,0.3777777777777777,0.8673469387755102,0.5263157894736842,85,140,13,56724,M5,456,数据层,,200157.0,18196.0,181961.0
0.6831567412088938,0.0084930423561496,0.499,0.1611111111111111,0.8877551020408163,0.2727272727272727,87,453,11,56411,M6,456,数据层,,200193.0,18232.0,181961.0
0.7119207645944816,0.0223556210525157,0.5,0.0620209059233449,0.9081632653061223,0.1161121983039791,89,1346,9,55518,M7,42,数据层,,,,
0.683261919302712,0.0207484430258236,0.5,0.0617193240264511,0.8571428571428571,0.1151473612063056,84,1277,14,55587,M7,123,数据层,,,,
0.6881725521488898,0.0228413731895939,0.5,0.0694769711163153,0.9081632653061223,0.1290790427846265,89,1192,9,55672,M7,456,数据层,,,,
0.734414775357294,0.000780998617919,0.108,0.6818181818181818,0.7653061224489796,0.7211538461538461,75,35,23,56829,M8,42,统计层,,,,
0.7024587769473527,0.0007903580291399,0.101,0.723404255319149,0.6938775510204082,0.7083333333333334,68,26,30,56838,M8,123,统计层,,,,
0.7373259087357839,0.0007146738856859,0.136,0.7207207207207207,0.8163265306122449,0.7655502392344498,80,31,18,56833,M8,456,统计层,,,,
0.6786247087620676,0.0007830993797285,0.36,0.75,0.826530612244898,0.7864077669902912,81,27,17,56837,M9,42,容量层,,,,
0.7052082907318131,0.0008182891680358,0.459,0.8048780487804879,0.673469387755102,0.7333333333333333,66,16,32,56848,M9,123,容量层,,,,
0.666943113600387,0.0007807541594761,0.358,0.7864077669902912,0.826530612244898,0.8059701492537313,81,22,17,56842,M9,456,容量层,,,,
0.7333624764119693,0.0029680307488888,0.499,0.3386454183266932,0.8673469387755102,0.4871060171919771,85,166,13,56698,M10,42,容量层,,,,
0.7291546067827495,0.0026324426289647,0.5,0.3660714285714285,0.8367346938775511,0.5093167701863354,82,142,16,56722,M10,123,容量层,,,,
0.7800422526660558,0.0031338278204202,0.5,0.3245283018867924,0.8775510204081632,0.4738292011019284,86,179,12,56685,M10,456,容量层,,,,
