,,pr_auc,pr_auc,brier,brier,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std,mean,std,mean,std
method,route,,,,,,,,,,
M0,基准,0.7280298330642125,0.017677058687448635,0.0007565864054488334,4.385241092674272e-05,0.6981501119359019,0.05011520908248743,0.7789115646258503,0.0752154571003265,0.7335582173414119,0.03152176603324662
M1,数据层,0.6007157983683489,0.06259040466495241,0.0284844735142931,0.0035212901339400173,0.047954070708202796,0.003894415698212472,0.8945578231292517,0.03280153320065637,0.09099428135115202,0.006936620609606937
M10,容量层,0.7475197786202582,0.028243760908363644,0.0029114337327578997,0.00025543921826710203,0.343081716261638,0.021123882176570383,0.8605442176870749,0.021241489790470715,0.4900839961600803,0.01793023030892209
M2,数据层,0.5799717661273537,0.02675049573304598,0.018336141805671568,0.004112895594616169,0.07564447302912967,0.018255056686348962,0.8877551020408162,0.03534797566467087,0.13893866105365232,0.031167388037565885
M3,数据层,0.6394526059573572,0.033773890615431894,0.008420485062430401,0.001174093322533442,0.14177582027287264,0.01987827186091118,0.870748299319728,0.021241489790470684,0.24333754044015035,0.029026441774828673
M4,数据层,0.6824768740829178,0.01284492987235,0.003862352136368267,0.0007824455397658223,0.2856206707439796,0.05622027547030495,0.870748299319728,0.021241489790470684,0.42755476328723496,0.060367696034015636
M5,数据层,0.7257045312848792,0.017133025599337565,0.0026808823900605996,0.00026302189161544733,0.3560601191597501,0.030624150429128,0.8639455782312925,0.025679708963505923,0.5034535016402796,0.028484153259913072
M6,数据层,0.6944874880729902,0.02786594511030223,0.009739354919294766,0.0012189747814495989,0.13836972253205437,0.02141142009723218,0.8775510204081632,0.02699746235780192,0.23857502085350182,0.03190900971829323
M7,数据层,0.6944517453486944,0.01532656366556941,0.0219818124226444,0.0010953943748393045,0.06440573368870377,0.004394408344196015,0.8911564625850339,0.029456646387225782,0.12011286743163707,0.007779907004693449
M8,统计层,0.7247331536801435,0.01934501404787702,0.0007620101775816001,4.126067186106721e-05,0.7086477192860171,0.02327377064505723,0.7585034013605442,0.061507283401446025,0.7316791395738763,0.030025488029465922
M9,容量层,0.6835920376980892,0.019610245097750112,0.0007940475690801334,2.102656306802426e-05,0.7804286052569264,0.027923338639276325,0.7755102040816326,0.08836993916167746,0.7752370831924519,0.03758476937732796
